sample_id,before,current,end,keyword,next,project,start,type
1182,"I have never been the kind of person to do this, but I feel like I have no other options at this point.","Anything that can be donated to help me, would be so gratefully appreciated while I continue to fight this awful disease!",101,fight,Thank you for your help and for reading my story❤#,e0880cc1a099ca2e2763817d50b9b8cc,96,battle
1400,whatever the reason; thank you for taking the time to read and thank you for your prayers and support.,Thank you for coming alongside ##### in her battle against cancer.,50,battle,We need you.,83ccda94f54a8c50cc0094d94fd46e24,44,battle
1270,"In October 2016, ##### and ################# received the worst news any parents could imagine.","Their 3 year old daughter, #########, was diagnosed with a very rare and aggressive form of childhood cancer, ################, ######### has a long and difficult journey ahead as she begins her treatment.",170,journey,"With the love, support and prayers of family, friends and the community, we know that ######### will prevail!",45916bb445d23b9caff7f5a65e3becbd,163,journey
704,,"Please help #####, a 15 year old, as he battles ############# cancer.",47,battles,The ##### family is under substantial emotional stress.,f03898450b3bf25dbfa81dbbe36fe32c,40,battle
520,It was tough for her at first,but now she is ready to fight and win!,29,fight,"Our family members and friends have been a great help and of course we have we God on our side, who is in the business of miracles, and we will not stop praying for her miracle.",33b41f5192463e7976b4b2373525cd1f,24,battle
239,The two characters are ####### (early 50s) and ###### (middle 40s) who meet and begin a relationship lasting a mere eighteen months.  ,"Together they complete a daunting journey touched by humour, compassion, fear, support, anger and utter frustration.",41,journey,"Most of all, this is a love story, culminating in a death and many unanswered questions.   ",9026d0b730c880c3b03a1f47b79765b8,34,journey
434,#### me for the very beginning: Season 1.,Twelve stories guaranteed to shed new light on beating cancer.  ,54,beating,"And maybe, if you were just diagnosed, ease your mind and heart a bit.  ",df22ce3fe6802da05e3a2c038ea535e5,47,battle
893,,"For #############, amazing mother of 3, caring wife, sister and beloved friend of many, battled cancer for too long.",95,battled,She fought hard for herself and her family.,78c8a0d3323b15a7f885260dad9b8353,88,battle
857,Recently over the past few months I have been hospitalized 6 times and in and out of the ER 2 to 3 times weekly.,My insurance has been a constant battle and has told me that most of the expenses are going to be for me to pay out of pocket roughly 80% is out of pocket.,39,battle,I have a lot of traveling back and forth 2-4 times a month to see my Oncologist and primary Dr. in ###### that puts me driving 4.5 hrs one way to see them for a total of 9 hrs in a day.,e5d81e197d192062024585e056a509b8,33,battle
1277,This diagnosis has delivered such a blow to ######## and those that love her.,She is such a strong person and will fight with every ounce of her being to beat this cancer.,80,beat,We are just trying to help make her journey easier for her to travel.,8d7f89ca34b17b4973d30a2d2e5e5a91,76,battle
950,We have both been battling cancers of various degrees for the past 17 years.,"Although we have fought and survived thus far,  it has taken its toll both emotionally and financially.",23,fought,"Unbelievably, this makes our 4th fight against a major cancer since October, 2000.",0e4a0aa528f2f7b29796218fa5c9e520,17,battle
1413,"##########, he is now surviving and thriving and shows no evidence of growth or spread of the ######, as of his last tests in March 2016.  ","On the heels of the fight for his son's life against ############ has learned that he, too has ######.     ",25,fight,#### was diagnosed at the tender age of 37 with #################################.   ,3c14eddfd3f8e3b1aa8e47ba303e4ac8,20,battle
204,"Once we get the first month under our belt, we will figure out a way to fund Months #2, #3 and beyond.   ","It is our hope that, with your support, we can upload podcasts that will inform and inspire cancer patients and their families as they fight for their lives each and every day.",140,fight,,5040b395448803dd92dff6474d9fe8d9,135,battle
380,"While ÉSTAINE is about extraordinary fashion, it is so much more —",it is about educating the community and aiding those fighting the battle against cancer.,72,battle,"The one-of-a-kind designs tell not only of science, but also the stories of survivors, inviting questions that lead to awareness.",93b169593a4c483e1d566f61a62f47b7,66,battle
1049,"New employees don’t qualify for short term disability, so there may be living expenses as well, depending on how #### tolerates his treatment.",Your generosity will bless us beyond measure and give #### the fighting chance he needs to beat cancer.,95,beat,"Share this post, with a few words about how #### has touched your life.",0702562a1fc04912977ef0f5b2e4cb4c,91,battle
1125,He called it his soul searching trip and got back a few days ago.,This GoFundMe account was set up to assist ### in his battle against cancer and with the approval of the family will continue to raise funds and will direct them to the ################################################## a 501c3 non-profit developed to support to firefighters and their families in times of need.,60,battle,100% of the funds will be used to help pay for the costly funeral and other expenses.,bbf029e03377364c5426ce22817947cf,54,battle
1466,,"##########, beloved member of ##########, Misfits, ###, ####, #############################, and ####, is battling throat cancer.",114,battling,"### has just finished debilitating radiation treatments, and is confident he will return to active performance again within a year.  ",6282d3b648d4693afd8a93634298a5a4,106,battle
304,"ArtPrize 2013 (############, ########).","As a presenter in the forthcoming 2013 ArtPrize in ############, ########, I will be using my photography to tell the story of my daughter's struggle with and her eventual winning of her battle with ######## (ALL).",193,battle,"Once barely known to us, ############ quickly became the center of our lives as she underwent treatment over a three-year period.",1a30993a9f1cf63fb6e3493689d7ead8,187,battle
1351,"So now I asking you to donate however much you can, and if you can’t donate please help me by spreading the word and sharing it on ########, #######, #########, email, or texts.",I’m going to keep fighting and now I need you on my team to help me fight this thing as well!,73,fight,,af5c5a492170b5220f9a574941548117,68,battle
4,"just an inkling...of a notion...that I am capable of the type of change that can (pray: will) give me lasting happiness and peace, and the opportunity to spread a bit of that to others.","In writing this book, I’ve probably earned myself a beating from a monstrous, very famous ###########, and a hissy fit from an even more famous ############, several lawsuits, likely jail sentences (praying on that statuate-of-limitations-thing) and a pair of cement shoes courtesy of a prominent, reputed ######### crime family.",59,beating,"Who knows how may lives one lives, but you only die once.",a034469be45554c7f00590ea9d5aafe1,52,battle
1123,Karter Strand PO Box 14044North,"##########, FL 33408Please follow our journey on ########.  ",45,journey,"<LINK> ######### #SavingKarterThank you for your support, love and prayers!",dfeea74bc78ae94a49112333039436a6,38,journey
889,Amber has a mass in the center of her chest.,Amber needs your help as she fights this fight again.,46,fight,"She will continue working as long as she can, but eventually, that won't be possible.",b8cf3865ac05ac9530c1913a4750d105,41,battle
1450,#### has made great efforts over the last four years to utilize the ###### community to support the ######### chapter of ###################.,Their mission is to raise money for pediatric cancer research and to provide college scholarships to students who have beaten cancer or who are still fighting.,125,beaten,"#### has organized an annual ###### event in ########, ##, with all proceeds benefiting ########.",8a846d60c3d69c5df96d2d40dcf65103,119,battle
296,For This!,"#################, i[2]y) is a non-profit organization that empowers young adults affected by cancer through innovative and award-winning programs and services.",137,winning,We are the nation's largest support community for this underserved population and serve as a bullhorn for the young cancer movement.,bc383f21360a595f1fec42df20a93552,130,battle
1094,"She was diagnosed with ################## 17 years ago, July of 1999 and claimed the victory.","Fast forward to present day, ##### is now battling cancer for the second time.",50,battling,"It has been challenging, exhausting, and painful as her body is responding differently to the chemotherapy and radiation treatments.",becd1fb2f02fe22154e0e16fd42b91fd,42,battle
386,I need all the help I can get.,"Gas cards, airline miles, anything I can collect to raffle off and show that ########’s on our side with this fight.",115,fight,I will be going to ####### often to research and get interviews as we are following these ladies through their fight!,320f259eccb23c529a79ef6da1e4c7c8,110,battle
660,"##### lives alone with her 4 year old daughter, ####.",She has a strong support team in ##### but will also need financial support on this journey.,91,journey,Her focus needs to be on healing and getting strong for her and ####.,a95294ea138b81bd7e8dd324e3c8a61a,84,journey
52,Please read on.,This has been a healing journey for me,31,journey,and I know the process isn't  over.  ,c4a5157ebf494c90c2b74190a6996cde,24,journey
401,What we (Design vs Cancer) do is help raise awareness & support for people fighting all types of cancer.,"When we launch our store, the sale of our goods goes to helping families financially through their fight with cancer and helping the global effort for cancer research.",104,fight,"To do this, we've reached out to amazingly talented designers from all around the world to create great works of art.",6975101e3a9a8bf680e4d79cddbb8612,99,battle
812,"Travel expenses, food, and unforeseen expenses will add up quickly.","On behalf of the Groller Family and his many friends, I am asking for donations to make the expenses anticipated during ###’s epic battle, be the least of his worries.",137,battle,Thank You All and #########.,9a490341c6d45bd167d84452579f7df8,131,battle
1347,"iWe appreciate everything, and we are especially grateful for the prayers...",You ALL will help us win this fight...,35,fight,much love--,8ce57f2a317588169ea2c03733b6fcd2,30,battle
34,"the story of an average 21-year-old who never thought she'd get cancer--from the earth-shattering call saying that I had lymphoma to my first chemotherapy treatment, shaving my head, and graduating from treatment four days after graduating from college.","I recount the physical, emotional, and spiritual highs and lows of my journey, with the hope of offering encouragement and solidarity to other young adults facing this fight.",77,journey,"I'm convinced that people connect through story, and every time I've shared my story or passed along my blog to others, they've been grateful to hear that someone else has gone through a similar situation.",93dd178f860f2942e4bf822a2bf01f7f,70,journey
74,"After crying a lot, we decided to stop feeling sorry for ourselves and to lean on God.  ",We prayed that He would make our journey meaningful no matter what the outcome.  ,40,journey,We wanted it to matter and trusted that He would use our pain and suffering to inspire people in a way that would make a difference.           ,84b3431da2cac1faa85fadd7efe74911,33,journey
1266,Thoughts of teaching guitar lessons and opening a music shop are giving him some hopeful motivation at this time.,We are asking for your help and support during #####’s fight and recovery.  ,60,fight,Your kind donations will be used to help with medical bills and other expenses incurred.  ,9e2fdb1e1011d98426ac48a1a4a1644b,55,battle
838,Hey there ######!,"I've called all of you here to help me help one of our own, ###################, as she continues, along with her new husband ####, to fight the big fight and ""#################!""",140,fight,########## has been down this road twice before and has always found a way to come out shining.,b30757c0e09d640e82aeb288da528388,135,battle
146,"Through local events and bake sales, ############# has raised close to $10,000 in the past three years.  ","Every year, to publicize one of ############### popular bake sales, my mom, #############, goes to one of ############## local radio stations to talk about her battle with cancer, the loss of her mother, and how people can help support the fight against breast cancer.  ",166,battle,This April ############# is venturing into a brand new area of fundraising.,31d07531968ded652fc3df4f7a4c10b3,160,battle
593,"He fought a courageous battle with lung cancer and recently passed away last year on December 30, 2017.",We want #### to be able to focus on getting better and fighting this battle because right now that is the most important thing for her and her family.  ,63,fighting,This has all happened so fast.   ,b3e63824ccc5047630f1242e8bb4f98f,55,battle
583,"Anyone who knows ##### knows he is extremely active and healthy, but cancer has never been known to discriminate.",So now they are on the journey to crush this cancer and never let it come back!,30,journey,##### had a ### scan the day before Thanksgiving that showed one small tumor in his neck and another medium (fist-sized) tumor in between his lungs.,0d7abb69d8e8e6c252394c2e01c3ad80,23,journey
241,"”, the title piece.","Also on the bill is Mr. ######'s first overtly political one-act play One for the Road (1984), Mountain Language (1988), concerned with Turkish suppression of the Kurdish language, and Gulf War-influenced ################### (1991).",193,war,"This new string of fiery works linked by the apparent ""invulnerability of power"" combine with another short sketch and various poetic selections of Mr. ######'s to manifest a chillingly honest, uninhibited look into his world and mind.  ",fefbd2ba3d5e1edf062fbc5bac66efe8,190,battle
270,"It is very easy to allow any illness to take a mental and physical toll on your body when all you can think about is the sadness, loss of hope and stress.","This stage play is meant to show comedic and humorous approaches, mindsets, and attitudes to fighting cancer; while continually living a prosperus and fulfilling life.  ",101,fighting,Each penny that is given to this project will be whole heartily redistributed into one of the above categories.,f694dbe0aab3f786e3db867bf89b8530,93,battle
1,The bright lights jolted me from my memories and brought me back to the pain of the present.,I felt hot tears beginning to moisten my eyes as I fought with all my strength to hold them back.,57,fought,"It was my turn to be the rock, my turn to be strong.",a199b3368a921f69bc5304c45897650f,51,battle
37,It will also mark 5-and-a-half years since ###'s passing.,"And although it's not a path I would have chosen, it is making all the difference.",28,path,,01d0ba764e192cd5128a09f33c7224a2,24,journey
1398,##### is currently doing a trial treatment.  ,It has been a battle with some days that have been unpredictable and some days have been plain unbearable.  ,20,battle,But ##### is a fighter...,83ccda94f54a8c50cc0094d94fd46e24,14,battle
670,Our beautiful ###### went to be with his Lord early this morning.,"(January 22, 2019)He put up a valiant fight, greater than most men see in battle.",43,fight,The Lord was ready for him to return home.,d98c404af907484cdf7242aba2950bcd,38,battle
1229,Only God knows the future.,"They are also fighting to keep their heads above water with menial things, like bills.",22,fighting,If you would like to join in their fight here is the answer.....,bbf22e4c3be6de048f69b0cdc4db6864,14,battle
1307,I could see the impact it had on her and can only imagine what others experience.,"As such I have been growing my hair since the day that she lost hers (nearly 3 years ago now) and will be cutting it off in June to donate it to make a wig for someone who needs a confidence boost, to try and help someone else with a journey that is not an easy one!",241,journey,I told ### about my goals and she would like to make a special mention to her ################# - someone she refers to as her #####.,1883fea44f815cc254fdee0f877a7a40,234,journey
226,I watched my mother suffer and it's the worst feeling knowing I'm helpess because there is not a cure.,I can not begin to imagine being in the shoes of a person fighting cancer.  ,66,fighting,"###### her pain first hand is what motivated me to create this idea , and it's up to you to help me bring it to life.  ",d6201bf671e707d985ae90dde22f94d0,58,battle
1134,We are trying to  raise funds so that ####### and her family can focus on the fight ahead and not have to worry about making ends meet.,Please join us in supporting ####### and her family during the fight of her life!,68,fight,,407747c4fc7cdf05e5fa59079394d811,63,battle
43,"However, I want to raise awareness of childhood cancer by sharing our story with parents, friends and families of children in the same situation as ######.",I want to give hope to families put in our situation that children can beat cancer.    ,75,beat,"The book is also for doctors, nurses and medical professionals to read to understand what treatment is like from a family’s point of view.",4e8ddb95148318a6dcf14c4babd5cab2,71,battle
1449,#### has made great efforts over the last four years to utilize the ###### community to support the ######### chapter of ###################.,Their mission is to raise money for pediatric cancer research and to provide college scholarships to students who have beaten cancer or who are still fighting.,158,fighting,"#### has organized an annual ###### event in ########, ##, with all proceeds benefiting ########.",8a846d60c3d69c5df96d2d40dcf65103,150,battle
814,"############## almost age 7 will be spending his 7th birthday once again battling  cancer, #############.","####### has had many of his birthdays robbed from him, and we thought once again we beat it.",88,beat,However the cancer is back and relapse in the the brain for the second time.,142b640e65dc2e8a8e9dee66ac71a3ca,84,battle
1170,"Unfortunately, due to lack of insurance, we’ve  been unable to get her proper treatment.",She’s had a few close calls but her will to fight has kept her with us longer.,49,fight,Any help we can get will be greatly appreciated.,c41084c51bb8fa35b229bc2c3a646110,44,battle
1271,,"We CAN defeat ######’s childhood cancer, with YOUR help.",13,defeat,"A message from ######'s parents, ###############:",2048f0d732f885fc854faf1fdd21a392,7,battle
1218,"I’d like to extend a warm thank you in advance for whatever you are able to contribute at this time, emotional support included.","With the love of friends and family, we know she’s going to beat this!",64,beat,"If you’re unable to donate here but are able to contribute in other ways, please feel free to email me at <LINK>.",5c03f0111d08708a3c2a6d2d44ea8953,60,battle
655,Please help us continue to focus solely on his care and extending his life for as long as we possibly can.,We love you all so much and thank you for your generosity in assisting us through his fight.,91,fight,,3cf640bbba6f337b964fcce425503e45,86,battle
874,"In true ##### fashion, she is arming herself for the fight with strength and dignity.","And we, her family and friends, are prepared to fight with her.",53,fight,"The diagnosis was sudden and shocking, as there were no symptoms or illness leading up to the hospital visit that has changed her life forever.",feeec1c23a9d1f7833bdc662898632b1,48,battle
1375,"Since I’m terrible at dealing with emotional issues when speaking to others, and even worse at opening up enough to appear vulnerable or weak, writing is the only and best way that I know how to tell the most raw, honest story of our lives, from my eyes, anyway.","Only after I pour my heart out onto this webpage can I humbly ask for everyone’s help during this difficult time, because we need kindness and support to help us endure this battle, once again.  ",180,battle,So here I go.,a8b5b17d42c0d255f3d54b0a3053b670,174,battle
1146,"################ fight a rare, incurable cancer while continuing to share the gift of peaceful parenting with the world.","One half of all donations will help fund ############# fight against neuroendocrine cancer, and the other half will help to fund translating her books into Spanish and expanding distribution outside of ######### as well as continuing to provide donated books to hospitals and crisis family centers.",60,fight,,28ecb77eaff4a0262e81358c88b28c07,55,battle
303,"When he wakes up one Sunday and finds himself about to blow his wad of drug money on a guilt offering to the church, it's time to rehash his choices and figure out what's next.","Torn between loyalty for a boyhood friend in a battle against cancer and the hazardous thrills of a drug-addled rust belt city, ####'s problems piled up like butts in an ash tray, but he barely noticed because he was too busy going with the flow (he even missed a booty call that he used to live for).",53,battle,"Now he has to decide whether it's too late for him, or if he can find a way to rise above--and stay there.",f30271d6afdd46efa20570c9b377582b,47,battle
247,It's hard to be transparent about something so incredibly private.,But I believe with all of my heart and soul that this is a necessary change that needs to be set into action and let the people decide if progress is the right path.,164,path,I'm launching the conversation,00c31c2fbd1810183645b162da17b6c5,160,journey
188,"Yet for some reason, our health tends to be something we often take for granted, until ...","And we all know people that have had battles with cancer, and we all lost people to cancer.",44,battles,The writer of this film - #################### his mom to cancer.,9185a6e4530e61e2c3919f016eaf0b43,37,battle
692,Everyone remains hopeful for a full recovery.  ,Let’s pull together as a community to help make this difficult diagnosis a little easier to beat.  ,96,beat,Please give what you can and pray for this sweet child.,fb057f93b89171704e6bdaca67c10b63,92,battle
744,######## is the most advanced stage of cancer and there is no cure.,"Our mother, Amber, is a strong woman of faith and she refuses to accept a death sentence so she is buckling down to fight this thing with all that is within her!",121,fight,"Some of you may know, she has had breast cancer twice before and she rocked it like it was the common cold.",8752cbb7dae21ceea51d2eb5dec85c33,116,battle
215,"Much of ######’s work is created in collaboration with dancers and her personal interests in medicine, science, religion and painting inform a lot of her current work.","An intuitive, award winning composer that relies on his imagination and expressiveness to create music, ###### aims to give the audience a meaningful experience at the concert hall.",27,winning,"His compositions are inspired by philosophy, literature, art, poetry and nature, aiming to nourish the audience’s connection with their own emotions, spontaneity, creativity and fantasy.",4bd0e6e878dd45150ce0cfe7ac189179,20,battle
901,Her name is #######.,"She is a single mother, a sister, a daughter, a niece, a friend to so many and an incredibly strong woman fighting the fight of her life.",124,fight,She is my husband's cousin and a dear friend of mine and currently battling stage 4 breast cancer.,17701c1f422f4c104f49b52c8fc532e0,119,battle
1441,"She misses them greatly when she's in the hospital, but has amazing family and friends in her life that are getting her through each and every day.  ",Please consider donating to this amazing woman and her family as they continue to fight this fight!!,98,fight,,f89853fcf5dbc4e864dbfb0632225c1b,93,battle
636,The medical bills have already started piling up for the ###### family.  ,"Go Fund Me is a positive means to help alleviate those bills, so that they can concentrate on ####### fighting this horrible disease and not on finances.  ",110,fighting,"If you would be so kind as to donate anything, I know it would be very helpful and meaningful to the #######.",a82c5ce360e155e3736dccb1cbd2b1a8,102,battle
177,"If our books are able to be published, we will also be donating a large portion of our inventory to local hospitals and organizations around ############, ####### where the books can be read and colored by children directly affected by cancer.  ","We can all do our part to help end the fight with cancer and by helping us complete our goal, we will be able to work together to prepare our youth with information and positivity to join the fight with us.",44,fight,Our group would be more than happy to answer any questions that you may have and are open to any suggestions or opportunities to spread our book and message to new audiences.,4fed63aa7334a0376a1e8588bc18b57b,39,battle
359,"When she was 60, ######### was diagnosed with a rare form of cancer located in her intestine.","Supported by her daughter, she tenaciously fought it, repeatedly undergoing surgery to remove the tumorous mass and chemotherapy to destroy the remaining neoplastic cells.",49,fought,"But today, after 3 years of treatments which deeply affected the quality of her life, the cancer is still there and despair and resignation have replaced the will to live in #########'s heart.",0acf6c4a57d3e55ce927209009ee58b3,43,battle
1200,If you are unable to donate please keep me in your prayers!,I will fight this battle for my kids and myself.,24,battle,I want to be able to see them grow and achieve their dreams.,52163ba5fc09723308b0c190d0893bd8,18,battle
722,"The vet took what he could of the mass, but he was unable to remove the entire lump.","Unfortunately, the odds were not in ######’s favor, and this little one will now fight hard to win this battle.",110,battle,To ########### Is ####### GunnerThere is more you need to know about ######.,e7f8335ccc80864528b46c5bdbd20218,104,battle
1394,"Any help, no matter how big or small, would be greatly appreciated.","Prayers are deeply appreciated as well, as he continues to fight his cancer battle.",64,fight,Thank you for your support!,bedce13f19541a5e94c8e1a700d298b6,59,battle
465,We do plan on paying for some of these cost out of our own pockets as well.,"What We Have: - A dedicated crew from ##################### who’s ultimate goal is to create films that entertain audiences and captures peoples imagination - Award winning director - Award winning composer - Locked Script - Budget, Production Schedule/Timeline - Great locations around ###########, ## and ######, ##############: <",172,winning,LINK>,263028d85fcb13794f4ae49f2b05e9c6,165,battle
960,"Despite the surgeons best attempt to remove the tumour in its entirety, because of the nature of the tumour, not all of it could be removed.","With few options, and no guarantee that other ############ treatments will work, and after much research and talking to other people who have overcome or are fighting ######, it has been deemed that the best course of treatment, would be for #### to attend a ############# in ######## where he will receive individualised integrative ################# enabling him to fight the tumour from a number of medical and  natural fronts.",166,fighting,"The treatment in ######## is envisaged to be 8 weeks in duration, and as such will be very expensive.",5c73ffc791b85b33e89d59fc314be43c,158,battle
993,She has undergone intense chemotherapy and currently has bi-weekly immunotherapy treatments.,The treatments have been keeping the ###### at bay but this is a long-term fight.  ,80,fight,#### recently suffered an additional setback that resulted in the discovery of a brain tumor in which she had a very intense 5 hour brain surgery procedure.  ,df023cca01d783f819af7d31781e3d7d,75,battle
1173,,#############  is fighting stage 4 bladder cancer.  ,26,fighting,He is a 37 year old veteran from Saugerties that served 10 years in the  United States Air Force.  ,a883952add10d4fded755dd1a98c82c0,18,battle
642,"I am currently in a fight with #### cancer that I would have never expected, and was diagnosed in February 2018.",I had been blessed with my daughter and family and that is what continues to give me purpose to keep fighting this difficult battle against cancer.,131,battle,"I have had 24 radiotherapy sessions and 7 chemotherapy sessions so far and by October 2018, there was still a small tumor.",2c827a93bdf0b57bc76c7038e84ba8c0,125,battle
1103,### was diagnosed with skin cancer at the age of 27 in the autumn of 2018.,A journey that began with what seemed to be a manageable cancerous blemish quickly evolved into a rare and aggressive battle with high-grade ####### nonmelanoma skin cancer.,124,battle,"After initial radiation treatment and excisional surgery, it was revealed that ###’s cancer had advanced at an uncharacteristic rate and dangerously spread beyond the skin to his soft muscle, cartilage, and nervous tissue—resulting in a high-risk and life-threatening prognosis.",fd470bd0c203e6bf65fc4ca4943ac73c,118,battle
931,but I already see God at work.,It’s amazing the people God puts in your path and it’s a perfect reminder to me that God goes before us.,45,path,"I was sent directly to an oncologist...who ironically, I had already met.",1d3bed489c9a5d888bd07d505ed0a184,41,journey
930,Exodus: 14:14 “.“The,"Lord WILL fight for you, you need only to be still”.",15,fight,Let’s keep our eyes fixed on ##### and gratitude for the days were given.,1d3bed489c9a5d888bd07d505ed0a184,10,battle
743,Her job has been put on hold as her priority has needed to become her daughters health.,Their lives revolve around trips between providence and ###### for treatments and the fight against cancer.,91,fight,Looming over their heads are enormous medical expenses.,4b128a55b1938cf41345db487245ad86,86,battle
95,"If you are on twitter, you can follow me there as well.","All I dream of and want to do from the bottom of my heart, is to bring a smile to the faces of people from all over the world, and give hope to those who have fought or who are still fighting the battle against colorectal cancer.   ",202,battle,"My motto is ""Don't let the fear of dying, keep you from living"".  ",ff3d45ff83dbfb20b1da0974e4170ab3,196,battle
451,The family will travel hundreds of miles to perform and partake in a ritual they feel is key to ########’s survival and I will document their journey.  ,I will also be integrating footage shot by ###### and ###### in the weeks leading up to and during the journey.  ,110,journey,(I taught them how to use a flipcam,d711d3f43a17de16fb2cd638cd86b510,103,journey
1045,####,and I have had the privilege to personally hold events raising thousands for those in need and friends battling cancer.,111,battling,Now it is time to focus our efforts on ####’s care.,0702562a1fc04912977ef0f5b2e4cb4c,103,battle
763,As you can imagine this was absolutely devastating to us for the second time.  ,"We knew we had a long battle ahead of us with the #######'s Sydrome alone, but didn't expect what was to come.  ",28,battle,"After a week at #####################,  ### was able to come home.",55ff865f95ad41840ac93c63c3556319,22,battle
366,"We cannot fight cancer through sheer talent alone, but together, we can encourage those who are battling and provide healing for those who have lost loved ones.","We stand together, and together we fight.",40,fight,"########### is asking for your support in helping this performance ""get off the ground"" - literally.  ",e45cba5ac6e54caec2f7af760bdcdb4c,35,battle
673,He has been diagnosed with Stage 4 bile duct cancer that has metastasized to some nearby organs.,"It will come as no surprise to those who know ###### that his strength, courage, and love of God is helping him in this very difficult battle that he faces.",141,battle,"To support him through this, his Mom, ############, and his sister, ######, have left their respective homes in ######## and ########## to join him in #####, #######, as his strongest supporters and most ardent advocates.",d98c404af907484cdf7242aba2950bcd,135,battle
168,##### and her husband operate this growing advertising agency while they donate their time and resources to promote ################## and the Dempsey Challenge.  ,##### is a four-time cancer survivor and understands first-hand the cancer journey.  ,82,journey,She has been a voice for those affected by cancer and has shown how to live with hope and success.  ,a3bbc210c0e86d8ef1250545b204deb0,75,journey
422,"We also create original programming for adults and families that integrate puppetry, music, movement, storytelling, and dance.",See what’s cooking at <LINK> ######### (sound mixer) is an #### award winning sound editor / mixer who has worked on numerous independent and studio film and television projects throughout his 20 year career.  ,77,winning,His television credits include “,ca7b29cd1f92bcb0695da9b218e703a8,70,battle
1293,I have been married for 17 years and have 2 kids.  ,My journey starts in July 2016.,10,journey,I was on a mini vacation with my family in #######.  ,76d8ab9be22550e3b6a9816f80919dff,3,journey
1202,"She has had many appointments to date, and will have many more to come at ########### in #########.","Her husband, family, friends, and cancer team are fabulous, and she is happy and grateful to have them by her side for this journey.  ",131,journey,The team has decided to start with chemotherapy first in order to shrink her tumors and catch any wandering cancer cells before surgery.,bc008f13c48cd10d4bad55e351ab0124,124,journey
775,"As I continue, I will keep fighting for health care and to save #########################, and ########.","Using my story to help others is a goal of mine while I can still do it, and by supporting me, you are also supporting others out there who cannot fight for themselves.",152,fight,"###################################, ###############",beb7186a20586ce15123eb8e1b0db096,147,battle
97,"Absorbing and evolving as much as he could from that experience, he transitioned to coloring work on ############# #100, Savage Dragon:","God War, ############",7,war,: War on Terror and other independent projects including ###'s Shadowflame #1.,e3ca988f3234601c192a9175548bc892,4,battle
1136,"Although #### is continuing to work as much as possible, the stark reality is that their expenses have exponentially gone up while their household income has drastically gone down.","Instead of building their lives in their new city, they are in a fight they never expected.",70,fight,"####### and #### are both self-employed without the safety net of medical leave, and they have two small children to care for.",e8df8c0ae6ae4ec6b7693840a301d2e7,65,battle
77,"After ##### passed away, ################## and ############ of the ######### Scene wrote, ""Over the course of her life, she battled #######'s lymphoma, breast cancer, a brain tumor and #######-Barr syndrome, though she did so with an uncommon grace that inspired her family and friends.",""" Not only did ##### survive these battles, she thrived and lived to the fullest.",42,battles,"In the 40 years she fought for her life, she also served as a member of ################### for ######, testified before ######## in the hearings on ################################################, became the director of a ##################### nonprofit supporting mother and infant health in low income communities and sparked the battle to conserve the rural community where she lived for more than two decades.",b7fc45fcb42632f1023d5431fced1fa1,35,battle
929,I pray that over myself and others.,I know there are millions out there battling diseases,44,battling,so I pray peace that passes all understanding.,1d3bed489c9a5d888bd07d505ed0a184,36,battle
1183,All assistance is needed as quickly as possible.,With your assistance and ultimately the power of God we can accomplish this goal of beating cancer together.,91,beating,"Although this is a very strange time for me where each day I am battling changes in my body, experiencing a decrease in energy, and struggling to maintain mental focus through my healing process, this journey has taught me a lot about myself and how to endure and wait on God's power.",0f0612237d2ccde0c4107bb66444fe79,84,battle
1025,"I will immensely appreciate your re-posts, as well as donations.",Your help will let my best friend to continue the fight and not give up.,55,fight,My appreciation of your help goes beyond words.,c8c37ef118712be1cd8afa0b0babdff0,50,battle
978,"So, we’re choosing to start a trial at ######## that ###### does not offer.","We feel that the best chance to beat this aggressive cancer is with the best, at ########.",36,beat,We’ve decided on a treatment plan and hope to get it started in the next week or so.,6ed389dc53ba5eef59cbcda5c847cf29,32,battle
346,"I was also part of 12 writers that set 3 ###################### for the comic book,","“#################, written in under 11 hours – beating the record set in April of 2011.",55,beating,"Other members included that of ############, #############, #############, #############, ######### and more.",c863fd6c2fadfe969ddbb2c3bf72d3f1,48,battle
101,Be sure to pick those power words that feel right for you.,The words that help lift you and encourage you on your next journey in life.  ,67,journey,Just place 2 to 3 droplets of your favorite essential oil onto the hand made paper inside your ######## or ######## (on back).,965a50bff8e0f54e73664db4c026dce8,60,journey
1290,"I fight for those that have passed, for those that are fighting alongside me, my family, and my friends.  ",I will not let this beat me.,24,beat,~Yolanda,76d8ab9be22550e3b6a9816f80919dff,20,battle
104,I have eliminated many of the frustrating aspects that traditional RPGs introduce to gamers without hurting the integrity of the genre.  ,One such example is I found a way to make every party member useful in every battle without having to be on the front lines!,83,battle,I am seeking your charitable contribution to help me raise the $4000 I need for a license of ############# so that I can legitimately make the game.  ,65cc32192fcccaabdbacf5958d3ef17c,77,battle
657,Thank you all so very much for helping keep this woman on her bike and fighting!!,######## posted in ########## hoping to sell her bike for money for her medical deductibles that are staking up while fighting for her life.,126,fighting,I’d love to help her offset her expenses by what she would get for her bike,6ad3cdfe7eb65a4be77031c07afd9dbd,118,battle
