donation,cond_sex,cond_metaphor,past_donations,urgent,sympathy,self_cancer,ff_cancer,gender,education,socioeconomic,age
25,female,battle,1,6,6,N,N,M,A,75-100k,49
0,female,journey,2,4,6,OO,N,NB,OO,50-75k,56
45,male,battle,4,3,6,N,N,M,HS,100-150k,35
0,female,battle,0,6,6,N,N,F,P,25-50k,56
6,female,literal,5,5,5,OO,N,F,<HS,25-50k,19
33,male,journey,12,6,6,N,N,M,A,10-25k,45
6,female,battle,3,6,6,N,Y,F,<HS,OO,53
19,female,journey,2,6,6,OO,Y,F,OO,75-100k,67
27,female,literal,9,6,6,OO,OO,M,A,10-25k,59
29,male,journey,6,6,6,N,N,M,A,100-150k,31
50,male,literal,0,5,6,N,Y,M,P,100-150k,32
49,male,literal,3,6,5,N,Y,F,OO,25-50k,68
2,male,journey,14,6,3,N,Y,F,D,75-100k,52
0,female,battle,1,6,4,OO,N,OO,B,25-50k,36
50,female,battle,0,4,4,N,Y,M,HS,25-50k,73
32,female,literal,1,6,4,N,Y,F,P,100-150k,47
46,female,battle,3,5,6,N,Y,F,<HS,<10k,72
47,female,battle,13,6,6,N,N,M,A,OO,73
10,female,literal,3,6,4,N,N,NB,A,75-100k,71
41,male,battle,4,6,6,N,Y,F,D,100-150k,27
0,female,literal,7,6,6,OO,OO,M,OO,>150k,62
11,male,literal,3,6,5,N,Y,M,B,100-150k,77
21,male,literal,2,5,6,N,Y,M,HS,10-25k,79
27,female,literal,3,1,6,N,Y,OO,OO,25-50k,23
40,female,literal,6,5,6,Y,Y,NB,P,25-50k,40
27,female,journey,7,6,6,N,N,M,OO,<10k,31
32,male,journey,8,3,5,OO,N,F,HS,50-75k,20
25,female,literal,8,3,6,Y,N,F,P,100-150k,54
0,female,journey,0,5,5,N,Y,F,<HS,100-150k,30
25,female,literal,1,6,5,N,Y,M,D,50-75k,49
25,male,journey,0,4,6,N,Y,F,B,OO,41
25,male,literal,0,6,6,N,N,OO,<HS,75-100k,40
46,female,battle,1,6,6,N,Y,F,A,>150k,23
49,female,journey,2,6,5,N,N,F,B,100-150k,30
0,male,battle,7,6,5,N,N,M,A,<10k,74
7,female,journey,4,6,6,N,Y,OO,HS,OO,51
0,male,battle,0,6,4,N,OO,F,HS,100-150k,59
0,female,literal,3,4,6,Y,Y,F,<HS,<10k,31
22,female,journey,4,5,5,N,OO,F,P,25-50k,61
8,male,literal,3,6,4,Y,N,NB,D,10-25k,69
14,female,battle,0,5,6,N,Y,M,B,25-50k,18
25,female,journey,8,4,5,N,N,F,M,10-25k,54
50,female,literal,18,5,6,N,OO,F,OO,<10k,23
20,female,literal,1,6,5,N,Y,NB,<HS,<10k,59
31,female,battle,1,6,5,N,Y,M,OO,50-75k,46
1,female,battle,4,6,1,Y,N,NB,HS,100-150k,67
21,male,battle,5,6,6,Y,Y,OO,M,75-100k,21
0,female,literal,3,5,5,N,N,F,<HS,<10k,52
25,female,battle,3,5,4,N,N,F,D,<10k,20
0,female,literal,1,4,6,OO,N,M,P,>150k,75
35,female,battle,2,6,5,N,Y,M,B,50-75k,20
40,female,battle,0,6,6,N,N,M,HS,75-100k,26
19,male,journey,2,4,6,N,Y,F,P,75-100k,62
45,male,battle,20,5,6,Y,N,F,<HS,50-75k,48
10,male,journey,2,6,6,N,Y,F,OO,100-150k,35
25,male,battle,0,6,6,N,Y,F,<HS,50-75k,26
25,male,journey,4,6,5,N,N,NB,M,10-25k,61
45,male,journey,21,5,6,OO,Y,M,<HS,10-25k,62
50,male,battle,1,6,5,N,Y,M,D,75-100k,72
36,female,journey,5,5,6,N,Y,F,M,>150k,36
50,female,journey,13,5,6,N,Y,M,B,25-50k,73
34,male,literal,2,3,6,N,N,OO,HS,10-25k,42
50,male,literal,3,6,6,N,Y,F,P,>150k,36
11,male,battle,3,5,5,N,N,M,D,100-150k,32
28,female,literal,3,6,6,N,Y,OO,D,75-100k,57
8,female,journey,8,5,6,N,N,F,A,25-50k,72
24,male,battle,2,5,6,N,Y,M,HS,<10k,62
40,female,journey,0,6,5,N,N,F,P,100-150k,62
6,male,journey,2,5,6,N,N,M,D,100-150k,34
7,male,journey,7,6,6,N,Y,F,P,>150k,76
4,female,journey,2,6,6,OO,N,M,OO,25-50k,20
20,male,literal,1,5,6,N,N,F,A,>150k,47
11,female,battle,7,4,5,N,N,F,A,25-50k,38
25,male,journey,4,6,6,OO,Y,F,B,10-25k,55
36,female,literal,0,5,5,N,Y,F,D,10-25k,29
18,female,journey,16,5,6,N,Y,M,M,25-50k,69
28,female,journey,5,6,4,Y,N,F,P,10-25k,62
26,male,journey,1,5,6,N,N,M,D,75-100k,28
48,female,literal,8,4,6,OO,N,F,P,100-150k,65
25,female,battle,0,3,6,N,Y,F,<HS,25-50k,61
8,female,literal,8,6,5,Y,OO,F,HS,25-50k,55
23,female,journey,3,4,6,N,N,M,OO,OO,53
9,female,battle,1,6,6,N,N,F,D,100-150k,43
34,male,journey,2,6,5,N,N,OO,D,25-50k,30
25,female,battle,15,6,5,Y,N,M,<HS,10-25k,19
12,female,journey,9,6,6,Y,N,OO,B,100-150k,23
8,male,battle,3,6,6,N,N,F,OO,<10k,73
0,male,journey,8,6,4,Y,N,NB,D,75-100k,70
43,female,journey,18,6,6,OO,Y,F,M,50-75k,72
50,male,journey,0,6,6,N,N,M,HS,<10k,79
25,female,journey,4,6,6,N,Y,M,<HS,25-50k,27
24,male,battle,0,4,2,N,Y,F,M,10-25k,59
25,female,journey,0,6,5,N,N,F,A,75-100k,49
25,female,journey,7,6,6,N,N,M,OO,10-25k,55
45,female,battle,15,2,6,N,OO,M,M,>150k,69
10,male,battle,0,6,6,N,Y,M,HS,100-150k,19
0,female,battle,2,6,6,N,Y,F,B,50-75k,52
46,male,literal,7,5,5,N,N,M,P,>150k,59
25,male,battle,13,6,6,N,OO,M,A,>150k,37
0,male,literal,11,4,4,N,N,OO,OO,25-50k,28
16,female,literal,2,6,6,N,OO,NB,OO,10-25k,68
0,male,literal,2,6,6,N,N,M,OO,75-100k,79
18,female,literal,16,6,6,N,N,M,A,<10k,70
0,male,journey,23,5,5,N,OO,M,<HS,10-25k,66
22,female,battle,30,5,6,N,Y,F,HS,OO,59
28,male,journey,6,6,6,N,N,F,A,50-75k,78
0,male,battle,2,6,5,N,Y,NB,B,10-25k,45
20,male,literal,3,6,3,N,Y,F,A,50-75k,58
31,female,journey,3,6,6,N,N,F,HS,25-50k,71
24,female,literal,0,6,5,N,N,NB,<HS,100-150k,23
10,male,journey,0,6,6,N,Y,M,D,10-25k,77
12,female,battle,1,5,6,Y,N,F,HS,OO,48
0,male,journey,1,6,6,N,Y,F,D,25-50k,41
4,female,battle,3,6,5,Y,Y,M,P,75-100k,59
25,male,literal,7,6,1,Y,Y,F,<HS,100-150k,63
25,female,literal,2,5,6,OO,N,F,HS,25-50k,28
11,male,literal,2,6,6,N,Y,M,A,100-150k,74
25,male,literal,4,5,5,OO,Y,F,D,100-150k,28
8,female,journey,1,6,6,N,N,M,HS,10-25k,30
50,male,literal,2,6,6,OO,N,M,P,25-50k,67
14,male,journey,5,5,5,N,N,M,OO,100-150k,27
32,female,literal,0,6,6,N,N,F,P,25-50k,40
19,male,journey,4,5,6,N,OO,M,OO,>150k,62
11,female,journey,3,6,6,N,Y,OO,P,75-100k,44
32,female,journey,4,5,4,N,Y,M,B,10-25k,20
0,female,battle,1,5,6,N,Y,NB,<HS,75-100k,23
35,female,literal,5,6,6,N,N,F,D,10-25k,40
24,male,battle,1,5,6,N,Y,M,M,25-50k,62
39,female,battle,1,3,5,N,Y,OO,D,<10k,22
0,male,journey,6,6,6,N,Y,M,P,10-25k,53
50,female,literal,13,6,6,N,N,F,D,75-100k,48
9,male,journey,1,4,4,Y,Y,F,P,75-100k,21
3,male,literal,0,5,5,N,N,F,HS,<10k,73
0,female,journey,2,6,3,N,Y,F,M,50-75k,52
14,male,battle,5,6,6,N,Y,OO,OO,<10k,45
12,female,literal,1,4,2,N,N,OO,A,75-100k,61
25,male,literal,2,6,6,N,N,F,HS,100-150k,68
30,male,battle,0,6,4,N,Y,M,<HS,25-50k,31
9,female,literal,0,6,5,N,Y,M,M,OO,72
3,male,literal,0,4,6,N,Y,M,D,25-50k,41
26,female,journey,10,6,6,Y,Y,F,<HS,25-50k,62
50,female,literal,9,5,6,N,Y,M,P,>150k,69
0,male,battle,5,6,3,N,N,OO,M,10-25k,69
0,female,literal,2,4,6,N,N,M,B,10-25k,32
25,female,literal,1,6,6,N,N,M,P,75-100k,19
25,female,battle,5,6,5,N,Y,F,P,25-50k,46
28,female,literal,4,4,6,N,N,M,M,50-75k,77
0,female,battle,14,6,5,N,N,OO,HS,OO,52
19,female,journey,6,6,6,N,Y,F,D,<10k,72
22,male,battle,5,6,6,N,N,OO,D,>150k,66
0,female,journey,0,6,5,Y,Y,F,D,<10k,35
32,male,battle,0,5,5,N,N,F,B,10-25k,21
47,female,literal,11,6,5,N,N,F,<HS,50-75k,73
45,male,journey,2,5,6,Y,N,M,<HS,75-100k,76
50,female,literal,6,4,4,N,Y,F,HS,100-150k,32
17,female,literal,5,4,6,N,N,M,<HS,50-75k,18
20,female,battle,0,6,5,N,N,F,M,75-100k,62
33,female,literal,2,5,3,N,Y,F,P,>150k,56
36,male,battle,3,5,4,N,N,M,<HS,75-100k,75
34,male,battle,0,6,6,OO,OO,M,A,>150k,29
25,female,battle,6,5,0,N,N,F,<HS,>150k,63
36,male,literal,6,6,6,N,OO,M,HS,75-100k,38
14,male,battle,9,6,6,N,N,M,OO,100-150k,25
25,female,battle,0,6,6,N,Y,F,P,OO,75
25,female,literal,5,5,6,N,N,M,OO,25-50k,53
0,female,journey,11,6,5,N,N,OO,A,<10k,59
44,female,battle,6,6,6,N,OO,OO,D,>150k,74
25,female,literal,0,6,6,OO,OO,M,P,>150k,79
40,female,literal,4,4,6,OO,Y,M,B,10-25k,35
40,female,battle,1,6,5,N,Y,F,HS,<10k,31
47,female,journey,3,5,6,N,Y,F,D,25-50k,63
25,female,journey,0,6,6,N,OO,M,M,75-100k,20
31,male,battle,16,3,6,N,Y,F,<HS,50-75k,55
28,female,battle,2,3,6,N,N,OO,B,75-100k,51
50,female,journey,6,3,6,Y,N,F,A,25-50k,66
22,male,journey,8,4,4,N,N,M,B,>150k,56
25,male,battle,1,6,6,N,N,OO,A,75-100k,74
29,female,journey,22,6,6,N,N,M,HS,>150k,51
27,female,literal,26,6,6,OO,Y,F,OO,25-50k,43
4,female,battle,4,5,5,N,Y,F,B,10-25k,57
22,male,journey,0,6,6,N,Y,M,P,25-50k,68
50,male,journey,1,6,6,N,N,M,D,10-25k,35
37,female,battle,0,6,5,N,N,F,A,>150k,30
8,male,journey,0,6,6,N,N,M,A,75-100k,67
44,male,journey,5,4,6,Y,Y,M,M,25-50k,35
50,female,battle,25,1,6,N,Y,OO,D,<10k,39
39,female,journey,7,6,6,N,N,OO,M,OO,21
28,male,battle,1,6,5,N,N,F,D,<10k,55
27,male,literal,3,6,6,Y,N,M,HS,OO,52
8,male,journey,2,4,6,N,Y,M,HS,75-100k,75
44,male,battle,10,6,5,N,Y,M,P,>150k,33
0,male,literal,6,5,5,N,OO,M,<HS,10-25k,58
31,male,battle,2,5,5,OO,N,F,D,25-50k,19
7,male,battle,2,3,4,N,OO,M,B,25-50k,51
10,male,journey,13,6,6,N,N,M,B,>150k,34
35,male,journey,1,6,2,N,Y,F,<HS,100-150k,71
34,male,battle,6,5,6,N,N,OO,HS,>150k,49
31,female,literal,1,5,6,N,N,NB,B,10-25k,34
25,male,battle,13,6,6,N,N,M,<HS,10-25k,31
36,male,journey,15,6,4,N,Y,M,<HS,100-150k,22
44,female,literal,0,5,6,N,N,M,B,<10k,65
32,male,battle,0,6,6,N,Y,F,<HS,25-50k,38
50,male,journey,8,6,6,N,Y,M,HS,<10k,64
14,male,battle,1,6,6,N,N,F,A,>150k,69
45,female,battle,18,6,6,N,N,M,HS,>150k,77
48,female,battle,20,3,6,N,N,F,HS,<10k,29
25,male,battle,0,6,6,Y,N,F,M,100-150k,79
40,female,battle,6,6,6,N,N,F,OO,100-150k,33
15,female,battle,9,6,5,N,N,F,OO,50-75k,39
8,male,journey,4,6,6,Y,N,M,<HS,<10k,79
10,male,battle,3,6,5,OO,N,F,HS,25-50k,58
42,female,battle,13,6,6,Y,Y,F,OO,<10k,62
8,female,journey,4,6,6,OO,OO,M,P,10-25k,79
19,female,literal,15,5,6,N,OO,F,M,25-50k,40
25,male,battle,0,6,6,N,OO,M,P,OO,21
26,female,journey,1,4,6,N,Y,F,M,25-50k,46
0,female,battle,2,6,6,N,Y,M,D,100-150k,71
14,male,journey,1,6,6,Y,Y,M,A,>150k,27
1,male,battle,8,5,4,N,N,OO,HS,100-150k,64
25,female,literal,11,4,5,N,Y,F,D,10-25k,53
17,male,battle,9,5,3,N,Y,NB,M,10-25k,25
17,female,battle,1,4,6,N,N,M,OO,10-25k,68
11,female,literal,5,6,6,OO,Y,OO,B,75-100k,24
0,male,literal,0,6,5,N,Y,F,D,75-100k,78
42,male,battle,15,6,6,OO,Y,F,HS,OO,23
0,female,literal,1,6,3,N,N,F,D,10-25k,63
24,male,literal,3,5,6,Y,Y,F,B,50-75k,65
23,male,literal,3,6,5,OO,Y,OO,OO,100-150k,50
25,female,battle,28,5,1,OO,N,F,B,OO,41
25,male,literal,3,6,6,Y,N,F,P,50-75k,45
12,female,journey,6,4,6,OO,N,F,B,<10k,21
50,female,journey,2,6,5,N,N,M,M,25-50k,55
3,male,battle,0,6,5,Y,N,F,A,25-50k,59
47,female,battle,7,5,5,Y,N,OO,B,>150k,77
16,male,battle,0,6,5,N,Y,M,OO,10-25k,21
25,male,literal,25,6,6,Y,N,M,D,75-100k,60
47,female,journey,6,6,6,N,Y,NB,<HS,10-25k,25
25,male,journey,23,6,5,N,Y,M,HS,OO,61
32,male,battle,1,6,5,OO,OO,F,HS,100-150k,46
47,female,literal,0,6,6,N,Y,M,P,>150k,68
0,male,battle,0,5,6,N,Y,F,<HS,10-25k,30
35,male,battle,10,5,6,N,N,M,HS,25-50k,75
25,male,literal,6,6,5,Y,N,F,M,10-25k,25
20,female,journey,7,5,6,N,Y,F,B,50-75k,60
50,female,battle,16,5,6,N,N,F,P,10-25k,40
19,female,battle,8,5,6,N,Y,F,D,75-100k,21
17,female,journey,2,5,5,Y,N,F,HS,OO,65
19,female,battle,3,6,6,N,N,OO,M,25-50k,66
5,male,battle,2,6,5,N,N,F,B,<10k,49
46,female,literal,0,6,6,N,N,M,M,<10k,58
30,male,literal,7,6,4,N,N,NB,P,75-100k,53
50,male,literal,1,6,6,N,N,F,OO,75-100k,45
33,female,journey,6,2,5,N,N,F,M,>150k,51
0,male,journey,6,5,6,N,N,F,HS,>150k,53
1,female,literal,0,5,6,N,OO,F,<HS,>150k,54
20,male,journey,0,6,6,N,Y,M,P,50-75k,49
23,male,journey,6,6,6,N,Y,F,OO,OO,56
26,female,journey,0,6,6,N,Y,OO,D,75-100k,51
34,male,battle,1,4,6,N,N,M,<HS,<10k,74
0,male,literal,0,6,6,Y,Y,F,P,>150k,49
25,male,journey,1,6,5,N,Y,F,OO,>150k,49
25,female,literal,3,6,6,Y,N,F,M,100-150k,46
28,female,journey,6,6,6,N,N,M,A,75-100k,29
0,female,journey,7,4,6,N,N,M,OO,<10k,67
38,female,battle,6,6,6,OO,N,M,<HS,75-100k,22
50,female,journey,8,5,6,N,N,F,P,>150k,73
18,male,journey,0,6,6,N,N,F,M,<10k,62
25,male,journey,8,5,6,N,OO,M,A,75-100k,73
12,female,battle,8,6,6,OO,N,F,B,10-25k,43
48,male,literal,7,6,6,Y,N,M,OO,>150k,60
4,female,literal,1,4,5,N,Y,OO,A,OO,50
27,male,literal,4,4,6,N,N,M,M,100-150k,49
20,female,battle,4,6,4,N,Y,F,OO,<10k,67
25,male,literal,0,5,6,N,OO,F,A,10-25k,53
50,female,journey,4,6,6,N,Y,M,HS,<10k,44
24,female,journey,0,6,6,N,Y,M,P,>150k,39
18,male,battle,15,6,6,N,Y,M,OO,10-25k,42
16,female,literal,3,6,6,N,Y,F,<HS,25-50k,25
5,male,journey,0,5,6,N,N,M,HS,25-50k,51
4,male,literal,9,6,3,N,N,F,OO,10-25k,49
14,female,journey,2,5,5,N,Y,M,<HS,25-50k,30
25,female,literal,4,6,6,Y,N,F,<HS,50-75k,32
25,female,battle,7,6,6,Y,N,NB,<HS,25-50k,46
50,male,journey,1,5,6,Y,Y,M,M,<10k,35
18,female,battle,1,6,2,N,N,M,P,>150k,61
15,male,journey,2,6,6,N,N,F,A,OO,67
25,male,journey,1,6,6,N,N,OO,P,25-50k,78
2,male,battle,4,4,6,N,N,F,A,25-50k,60
26,female,battle,10,4,6,N,N,F,M,75-100k,66
8,male,battle,1,4,4,N,N,F,D,25-50k,41
25,male,literal,6,6,6,OO,Y,F,M,25-50k,49
0,male,battle,0,3,6,N,OO,F,HS,25-50k,73
50,male,literal,12,5,6,OO,N,M,<HS,>150k,21
25,male,journey,0,6,6,N,N,F,P,<10k,40
45,female,journey,4,6,6,Y,N,F,A,75-100k,63
11,female,literal,2,6,5,N,Y,F,P,<10k,19
33,male,battle,3,6,6,N,N,M,D,25-50k,47
14,female,journey,10,6,2,N,N,M,HS,10-25k,74
13,male,battle,0,6,4,Y,N,M,HS,50-75k,33
50,female,battle,1,4,6,N,N,F,A,>150k,55
10,male,battle,2,5,4,N,Y,OO,M,<10k,78
9,male,battle,5,6,5,OO,Y,M,P,10-25k,59
49,female,literal,0,6,6,N,Y,F,P,<10k,62
10,male,literal,4,6,6,N,Y,M,B,25-50k,23
41,male,journey,24,5,5,N,OO,F,<HS,50-75k,19
25,female,journey,0,6,6,OO,Y,F,M,100-150k,41
30,female,literal,2,6,6,N,N,M,OO,25-50k,22
0,male,literal,1,4,6,Y,N,F,P,OO,46
14,female,battle,0,6,3,Y,Y,F,P,50-75k,43
19,female,battle,2,3,6,OO,Y,M,HS,75-100k,70
33,male,battle,15,6,6,OO,Y,F,B,OO,58
50,female,literal,4,2,5,Y,Y,F,P,25-50k,21
17,female,journey,8,6,5,N,Y,F,B,75-100k,20
38,female,battle,6,4,5,Y,N,OO,D,>150k,53
3,female,journey,1,6,6,N,N,F,D,100-150k,72
38,male,battle,1,6,5,N,OO,F,B,OO,71
9,male,battle,0,6,5,N,Y,M,HS,50-75k,48
25,male,journey,11,5,6,N,N,OO,D,>150k,21
44,female,battle,6,6,6,Y,N,F,A,50-75k,18
50,male,journey,2,6,6,Y,OO,F,B,OO,33
24,male,battle,19,5,4,N,N,F,D,<10k,74
25,male,literal,2,4,5,N,Y,F,M,75-100k,60
38,female,battle,2,4,6,N,N,OO,M,75-100k,35
29,male,battle,3,6,6,Y,Y,OO,HS,100-150k,62
0,male,journey,4,6,6,N,N,F,P,<10k,50
0,male,journey,4,4,6,N,Y,M,A,50-75k,42
25,male,literal,3,6,6,N,N,F,A,>150k,33
25,female,journey,1,5,6,N,Y,NB,<HS,75-100k,22
4,male,journey,2,5,6,N,Y,NB,M,<10k,34
8,female,literal,6,5,6,N,N,M,HS,10-25k,26
15,male,journey,0,5,5,Y,Y,NB,P,10-25k,30
50,male,battle,1,5,5,Y,Y,M,OO,<10k,55
0,female,battle,5,6,6,OO,Y,F,P,>150k,73
25,female,journey,5,6,6,N,Y,F,B,25-50k,39
16,female,battle,11,6,6,N,Y,F,A,10-25k,43
11,female,literal,9,6,6,N,N,F,OO,100-150k,19
0,male,battle,8,6,4,N,Y,F,HS,<10k,62
20,male,journey,10,5,6,Y,Y,OO,D,100-150k,35
44,female,battle,7,6,6,Y,N,F,M,<10k,39
50,female,literal,1,5,6,Y,N,NB,M,OO,22
12,female,journey,11,6,6,N,N,F,HS,<10k,33
25,male,battle,29,6,6,Y,N,F,HS,<10k,47
39,female,literal,17,6,6,N,N,F,D,75-100k,19
37,male,literal,6,6,2,N,Y,OO,M,100-150k,47
17,female,literal,3,6,5,OO,Y,F,B,25-50k,71
0,female,battle,5,5,4,OO,N,NB,P,75-100k,18
0,male,journey,10,6,5,N,Y,M,OO,10-25k,58
44,female,battle,1,6,6,Y,Y,F,P,25-50k,33
45,female,battle,1,6,3,N,N,F,<HS,100-150k,34
50,male,journey,2,6,4,Y,N,F,A,10-25k,45
34,female,journey,3,6,6,N,OO,F,A,OO,73
37,male,battle,12,3,6,N,N,M,D,10-25k,19
7,female,journey,1,6,6,OO,N,NB,D,75-100k,75
19,male,battle,0,5,6,Y,N,F,P,50-75k,69
49,male,literal,5,3,6,N,N,OO,<HS,50-75k,58
31,female,journey,1,6,6,N,Y,OO,<HS,<10k,26
3,male,literal,8,5,6,Y,Y,M,D,50-75k,77
0,female,literal,2,6,6,Y,N,M,A,<10k,27
50,female,literal,11,5,6,N,Y,F,<HS,<10k,73
25,male,battle,7,5,3,Y,N,NB,OO,>150k,76
25,male,literal,10,6,5,N,Y,F,D,100-150k,24
32,male,journey,12,6,6,N,Y,F,OO,50-75k,51
37,male,battle,1,6,6,Y,Y,M,B,<10k,52
13,female,battle,0,6,6,Y,Y,M,P,OO,34
49,male,journey,4,4,6,N,N,F,B,OO,48
25,male,battle,8,5,6,N,Y,F,A,10-25k,55
28,female,literal,0,5,6,OO,N,M,M,100-150k,30
29,male,battle,11,6,6,N,OO,F,A,50-75k,68
8,male,journey,3,4,6,N,N,F,B,50-75k,75
28,female,battle,11,5,4,N,N,OO,OO,75-100k,46
31,female,literal,0,6,6,N,Y,M,D,OO,30
45,female,battle,15,6,6,Y,N,M,M,100-150k,18
0,male,battle,0,4,5,Y,Y,M,M,<10k,42
0,male,journey,9,6,6,N,N,M,<HS,10-25k,42
36,male,battle,7,6,6,Y,N,M,M,50-75k,55
7,female,literal,2,2,5,Y,Y,M,HS,50-75k,51
0,female,literal,1,6,6,OO,Y,OO,D,>150k,77
0,female,battle,9,6,5,N,Y,M,HS,50-75k,34
4,male,battle,1,6,6,Y,Y,F,<HS,100-150k,62
50,female,journey,0,6,6,N,N,F,B,OO,19
41,female,battle,0,6,6,Y,Y,F,OO,50-75k,33
25,male,battle,0,6,2,N,Y,M,B,50-75k,56
6,male,battle,1,6,6,N,Y,F,OO,25-50k,51
0,female,literal,4,6,3,Y,N,F,OO,>150k,36
41,male,journey,6,6,4,OO,N,M,P,50-75k,63
0,male,literal,8,6,5,N,N,OO,<HS,>150k,76
30,female,literal,7,3,6,N,Y,F,HS,50-75k,46
25,male,literal,0,6,6,N,N,F,D,<10k,20
50,female,journey,3,6,6,N,Y,F,<HS,25-50k,58
40,male,battle,4,6,6,OO,Y,F,<HS,10-25k,28
39,female,literal,0,6,5,N,Y,M,<HS,75-100k,24
13,male,journey,2,5,6,Y,Y,M,M,75-100k,20
26,female,journey,19,6,1,N,Y,F,M,OO,61
25,male,literal,1,5,5,N,Y,F,M,75-100k,79
13,male,literal,4,6,6,N,Y,M,OO,50-75k,74
0,male,battle,0,6,4,N,N,F,M,100-150k,79
40,male,journey,3,6,6,N,OO,M,A,OO,67
19,female,journey,19,6,6,Y,N,M,HS,<10k,68
32,female,battle,2,5,6,Y,Y,M,A,>150k,63
17,female,journey,19,6,5,Y,N,M,A,100-150k,40
3,male,battle,0,6,6,N,N,F,P,75-100k,53
37,male,literal,1,6,4,Y,Y,M,OO,OO,29
48,male,literal,7,4,3,N,N,F,B,25-50k,37
20,male,battle,0,5,4,N,Y,M,B,25-50k,69
25,male,battle,10,6,5,N,N,M,B,50-75k,61
47,male,battle,5,6,6,Y,N,M,D,>150k,42
10,male,journey,14,4,6,N,OO,M,M,10-25k,20
46,male,battle,0,3,5,N,OO,F,B,75-100k,60
50,female,battle,8,6,5,N,Y,OO,<HS,100-150k,37
15,female,battle,2,4,5,N,N,M,A,75-100k,34
0,male,battle,7,5,5,N,N,M,HS,OO,60
34,female,literal,1,6,6,N,N,F,D,50-75k,44
25,male,literal,1,6,5,N,N,F,OO,10-25k,42
26,female,journey,4,6,6,N,N,F,OO,100-150k,52
47,male,journey,2,6,6,N,N,OO,D,25-50k,43
50,female,battle,1,4,6,Y,Y,F,D,50-75k,77
25,female,literal,6,6,4,N,Y,M,HS,50-75k,20
2,female,battle,1,6,4,N,N,F,D,<10k,32
46,male,battle,1,6,6,N,N,M,HS,25-50k,64
30,male,journey,0,5,5,N,Y,M,M,100-150k,31
50,male,battle,4,5,4,N,N,F,HS,25-50k,33
37,male,battle,0,5,6,OO,Y,F,P,<10k,36
50,male,journey,4,6,6,OO,Y,F,HS,75-100k,52
41,male,battle,12,5,6,OO,N,F,<HS,<10k,25
47,female,battle,15,5,6,Y,Y,M,P,10-25k,53
33,male,battle,5,6,6,N,N,M,B,100-150k,24
13,male,literal,4,5,6,N,N,F,OO,50-75k,42
24,female,battle,3,6,5,Y,OO,F,<HS,>150k,39
25,male,battle,1,5,6,Y,OO,F,B,25-50k,67
0,female,literal,3,6,5,N,N,M,D,50-75k,52
0,female,battle,5,6,5,N,Y,M,A,75-100k,61
26,female,battle,3,6,6,OO,N,M,HS,50-75k,59
0,female,journey,2,6,3,N,N,M,HS,100-150k,25
0,female,journey,0,6,6,N,Y,F,P,100-150k,53
1,male,literal,0,6,6,N,N,F,D,10-25k,50
37,female,journey,4,6,6,N,N,M,OO,50-75k,25
37,female,battle,0,5,6,N,Y,F,B,OO,42
35,female,battle,1,4,6,N,N,M,B,25-50k,50
23,female,literal,9,4,6,N,N,NB,OO,75-100k,26
25,female,journey,13,6,5,N,Y,OO,B,OO,69
50,female,journey,12,6,5,N,Y,M,<HS,50-75k,28
3,male,battle,18,5,6,N,N,OO,HS,<10k,70
31,female,journey,4,6,6,N,Y,M,<HS,50-75k,29
8,female,battle,6,3,6,Y,OO,M,D,25-50k,60
6,male,literal,2,6,6,N,Y,F,<HS,>150k,50
50,male,journey,4,5,4,Y,N,F,P,75-100k,46
20,male,journey,4,6,6,Y,N,F,B,10-25k,68
10,female,literal,3,6,6,N,N,M,D,OO,30
39,male,journey,2,4,6,N,OO,F,<HS,10-25k,60
4,female,journey,0,6,5,N,Y,M,HS,75-100k,46
25,female,journey,1,6,6,Y,Y,F,A,10-25k,22
25,male,journey,2,5,0,N,N,F,M,50-75k,59
38,female,literal,0,6,6,Y,N,M,D,50-75k,19
25,male,battle,1,6,6,N,Y,F,<HS,OO,69
28,female,journey,2,5,5,N,N,M,OO,OO,26
29,male,battle,9,5,5,N,OO,F,A,50-75k,59
27,female,literal,7,6,6,N,N,M,P,25-50k,63
23,male,battle,21,5,6,N,N,M,B,100-150k,31
37,female,journey,3,6,4,N,Y,M,A,50-75k,34
10,male,battle,1,6,6,N,N,F,P,OO,20
6,female,journey,1,6,5,N,Y,F,M,10-25k,29
15,male,journey,8,6,6,Y,Y,NB,HS,25-50k,50
50,male,literal,1,6,6,N,N,OO,A,25-50k,18
34,female,literal,3,6,3,N,Y,F,P,10-25k,54
2,female,literal,2,5,6,N,N,M,M,50-75k,47
24,female,battle,2,2,3,OO,Y,OO,<HS,25-50k,68
12,female,battle,0,6,5,N,N,M,OO,OO,73
14,female,battle,16,6,5,N,Y,M,HS,75-100k,52
28,male,literal,2,6,6,OO,Y,M,M,75-100k,47
44,female,battle,2,6,6,Y,N,F,M,100-150k,37
24,male,battle,1,4,5,OO,Y,OO,<HS,>150k,63
27,male,literal,0,6,6,N,N,NB,M,OO,34
32,female,literal,15,6,6,N,N,F,M,<10k,27
47,female,journey,13,6,5,N,N,M,M,OO,51
40,female,battle,3,6,6,N,N,M,B,10-25k,22
2,male,literal,0,6,5,Y,N,F,P,10-25k,78
25,male,battle,7,5,6,N,N,M,B,>150k,53
50,female,battle,0,6,4,Y,Y,F,M,OO,43
0,female,literal,0,4,5,N,Y,F,D,100-150k,29
